Scan File_Name;TANAP Boundaries;TANAP ID;Subdocument boundaries;Type of non-document page
NL-HaNA_1.04.02_2555_0001;;;;Cover
NL-HaNA_1.04.02_2555_0002;;;;Empty
NL-HaNA_1.04.02_2555_0003;;;;Empty
NL-HaNA_1.04.02_2555_0004;;;;Empty
NL-HaNA_1.04.02_2555_0005;;;;Section title page
NL-HaNA_1.04.02_2555_0006;;;;Empty
NL-HaNA_1.04.02_2555_0007;;;;Table of contents
NL-HaNA_1.04.02_2555_0008;;;;Empty
NL-HaNA_1.04.02_2555_0009;;;;Empty
NL-HaNA_1.04.02_2555_0010;;;;Empty
NL-HaNA_1.04.02_2555_0011;;;;Table of contents
NL-HaNA_1.04.02_2555_0012;;;;Empty
NL-HaNA_1.04.02_2555_0013;;;;Table of contents
NL-HaNA_1.04.02_2555_0014;;;;Table of contents
NL-HaNA_1.04.02_2555_0015;;;;Table of contents
NL-HaNA_1.04.02_2555_0016;;;;Table of contents
NL-HaNA_1.04.02_2555_0017;;;;Table of contents
NL-HaNA_1.04.02_2555_0018;;;;Table of contents
NL-HaNA_1.04.02_2555_0019;;;;Table of contents
NL-HaNA_1.04.02_2555_0020;;;;Table of contents
NL-HaNA_1.04.02_2555_0021;;;;Table of contents
NL-HaNA_1.04.02_2555_0022;;;;Empty
NL-HaNA_1.04.02_2555_0023;;;;Empty
NL-HaNA_1.04.02_2555_0024;;;;Empty
NL-HaNA_1.04.02_2555_0025;START;63204;;
NL-HaNA_1.04.02_2555_0026;;63204;;
NL-HaNA_1.04.02_2555_0027;;63204;;
NL-HaNA_1.04.02_2555_0028;;63204;;
NL-HaNA_1.04.02_2555_0029;;63204;;
NL-HaNA_1.04.02_2555_0030;;63204;;
NL-HaNA_1.04.02_2555_0031;;63204;;
NL-HaNA_1.04.02_2555_0032;;63204;;
NL-HaNA_1.04.02_2555_0033;;63204;;
NL-HaNA_1.04.02_2555_0034;;63204;;
NL-HaNA_1.04.02_2555_0035;;63204;;
NL-HaNA_1.04.02_2555_0036;;63204;;
NL-HaNA_1.04.02_2555_0037;;63204;;
NL-HaNA_1.04.02_2555_0038;;63204;;
NL-HaNA_1.04.02_2555_0039;;63204;;
NL-HaNA_1.04.02_2555_0040;;63204;;
NL-HaNA_1.04.02_2555_0041;;63204;;
NL-HaNA_1.04.02_2555_0042;;63204;;
NL-HaNA_1.04.02_2555_0043;;63204;;
NL-HaNA_1.04.02_2555_0044;;63204;;
NL-HaNA_1.04.02_2555_0045;;63204;;
NL-HaNA_1.04.02_2555_0046;;63204;;
NL-HaNA_1.04.02_2555_0047;;63204;;
NL-HaNA_1.04.02_2555_0048;;63204;;
NL-HaNA_1.04.02_2555_0049;;63204;;
NL-HaNA_1.04.02_2555_0050;;63204;;
NL-HaNA_1.04.02_2555_0051;;63204;;
NL-HaNA_1.04.02_2555_0052;;63204;;
