Code;Titel;Aantal documenten;Documenttype;Opmerkingen
1;Dagregisters en registers (inhoudsopgave) op dagregisters;2461;;
1.1;Algemene dagregisters, serieel;808;Dagregister;
1.2;Algemene dagregisters, extracten of enkele data;444;Dagregister;
1.3;Inheemse dagregisters, serieel;92;Dagregister;
1.4;Inheemse dagregisters, extracten of enkele data ;206;Dagregister;
1.5;Dagregisters van missies of (militaire) expedities, serieel;818;Dagregister;
1.6;Dagregisters van missies of (militaire) expedities, extracten of enkele data;123;Dagregister;
2;Resoluties en registers (inhoudsopgave) op resoluties ;7422;;
2.1;Algemene resoluties, serieel;2122;Resolutie;
2.2;Algemene resoluties, incidenteel;3207;Resolutie;
2.3;Algemene resoluties, bijlagen;176;Resolutie;
2.4;Resoluties van departementen, serieel;2;Resolutie;
2.5;Resoluties van departementen, incidenteel;53;Resolutie;
2.6;Resoluties van departementen, bijlagen;0;Resolutie;
2.7;Resoluties tijdens missies of (militaire) expedities, serieel;80;Resolutie;
2.8;Resoluties tijdens missies of (militaire) expedities, incidenteel;172;Resolutie;
2.9;Resoluties tijdens missies of (militaire) expedities, bijlagen;4;Resolutie;
2.10;Resoluties van onderkantoren, serieel;74;Resolutie;
2.11;Resoluties van onderkantoren, incidenteel;286;Resolutie;
2.12;Resoluties van onderkantoren, bijlagen;5;Resolutie;
2.13;Notulen of besognes;173;Notulen;
2.14;Notulen of besognes, bijlagen;0;n/a;
2.15;Secrete resoluties, serieel;262;Resolutie;
2.16;Secrete resoluties, incidenteel;535;Resolutie;
2.17;Secrete resoluties, bijlagen;21;Resolutie;
2.18;Secrete notulen;7;Notulen;
2.19;Secrete notulen, bijlagen;0;n/a;
2.20;Resoluties aan boord van schepen, serieel;58;Resolutie;
2.21;Resoluties aan boord van schepen, incidenteel;221;Resolutie;
2.22;Resoluties aan boord van schepen, bijlagen;0;n/a;
2.23;Resoluties van kerkenraad, schoolmeesters of weesmeesters, serieel;3;Resolutie;
2.24;Resoluties van kerkenraad, schoolmeesters of weesmeesters, incidenteel;106;Resolutie;
2.25;Resoluties van kerkenraad, schoolmeesters of weesmeesters, bijlagen;4;Resolutie;
2.26;Resoluties of notulen van vergaderingen met inheemsen, serieel;8;Resolutie;
2.27;Resoluties of notulen van vergaderingen met inheemsen, incidenteel;77;Resolutie;
2.28;Resoluties of notulen van vergaderingen met inheemsen, bijlagen;0;n/a;
3;Brieven, rapporten en instructies ontvangen uit en verzonden naar Nederland ;9160;;
3.1;Correspondentie met de Heren XVII;4506;Brief;
3.2;Correspondentie met de Kamers;2434;Brief;
3.3;Correspondentie met overige autoriteiten in Nederland;198;Brief;
3.4;Registers der papieren verzonden naar Nederland;2085;Register;
4;Brieven, rapporten en instructies ontvangen uit en verzonden naar Batavia ;57.438;;
4.1;Correspondentie met de gouverneur-generaal of de Hoge Regering met bijlagen of  ;40.821;Brief;
4.2;Secrete correspondentie met de gouverneur-generaal of de Hoge Regering met bijlagen;2900;Brief;
4.3;Overige correspondentie met Batavia;576;Brief;
4.4;Registers der papieren verzonden naar Batavia;13192;Register;
4.5;Registers der papieren ontvangen uit Batavia;67;Register;
5;Brieven, rapporten en instructies verzonden binnen het gebied van de vestiging of gewisseld met andere vestigingen;24550;;
5.1;Correspondentie met, tussen en binnen onderkantoren van de vestiging;12068;Brief;
5.2;Correspondentie met andere vestigingen;6204;Brief;
5.3;Overeenkomsten;1183;Overeenkomst;
